iteration,total_runs,obs_realization,par_realization,gage,headwater,in_ghb,in_rch,in_sfr,in_ss,in_sy,in_wel,out_ghb,out_rch,out_sfr,out_ss,out_sy,out_wel,tailwater,trgw_0_13_10,trgw_0_15_16,trgw_0_21_10,trgw_0_22_15,trgw_0_24_4,trgw_0_26_6,trgw_0_29_15,trgw_0_2_15,trgw_0_2_9,trgw_0_33_7,trgw_0_34_10,trgw_0_3_8,trgw_0_9_1,trgw_2_13_10,trgw_2_15_16,trgw_2_21_10,trgw_2_22_15,trgw_2_24_4,trgw_2_26_6,trgw_2_29_15,trgw_2_2_15,trgw_2_2_9,trgw_2_33_7,trgw_2_34_10,trgw_2_3_8,trgw_2_9_1
0,50,0,0,104.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8284,7.1732,0,0,0
0,50,1,1,267.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543.161,24.1501,0,0,0
0,50,2,2,248.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.488,140.679,0,0,0
0,50,3,3,233.926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.1614,27.1666,0,0,0
0,50,4,4,37.1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35812,8.10328,0,0,0
0,50,5,5,8.87942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424,1.10068,0,0,0
0,50,6,6,148.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9652,10.0151,0,0,0
0,50,7,7,36.6569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.9848,1.16408,0,0,0
0,50,8,8,184.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.625,18.0982,0,0,0
0,50,9,9,129.252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.314,11.3195,0,0,0
