obsnme,obsval,weight,obgnme
gage_1_20151231,1206.1,1.0,gage
gage_1_20160131,1622.8,1.0,gage
gage_1_20160229,1927.7,1.0,gage
gage_1_20160331,2059.4,1.0,gage
gage_1_20160430,1981.7,1.0,gage
gage_1_20160531,1692.1,1.0,gage
gage_1_20160630,1290.5,1.0,gage
gage_1_20160731,896.79,1.0,gage
gage_1_20160831,572.01,1.0,gage
gage_1_20160930,422.23,1.0,gage
gage_1_20161031,474.19,1.0,gage
gage_1_20161130,730.34,1.0,gage
gage_1_20161231,1133.6,1.0,gage
gage_1_20170131,1557.0,1.0,gage
gage_1_20170228,1851.8,1.0,gage
gage_1_20170331,1967.7,1.0,gage
gage_1_20170430,1859.9,1.0,gage
gage_1_20170531,1549.5,1.0,gage
gage_1_20170630,1142.8,1.0,gage
gage_1_20170731,745.69,1.0,gage
gage_1_20170831,479.8,1.0,gage
gage_1_20170930,428.27,1.0,gage
gage_1_20171031,581.34,1.0,gage
gage_1_20171130,917.58,1.0,gage
gage_1_20171231,1345.8,1.0,gage
headwater_20151231,-644.22,1.0,headwater
headwater_20160131,-860.19,1.0,headwater
headwater_20160229,-1029.5,1.0,headwater
headwater_20160331,-1110.9,1.0,headwater
headwater_20160430,-1082.0,1.0,headwater
headwater_20160531,-935.95,1.0,headwater
headwater_20160630,-723.75,1.0,headwater
headwater_20160731,-508.8,1.0,headwater
headwater_20160831,-318.88,1.0,headwater
headwater_20160930,-220.19,1.0,headwater
headwater_20161031,-232.84,1.0,headwater
headwater_20161130,-361.45,1.0,headwater
headwater_20161231,-577.21,1.0,headwater
headwater_20170131,-811.7,1.0,headwater
headwater_20170228,-982.12,1.0,headwater
headwater_20170331,-1061.2,1.0,headwater
headwater_20170430,-1017.9,1.0,headwater
headwater_20170531,-859.07,1.0,headwater
headwater_20170630,-639.6,1.0,headwater
headwater_20170731,-415.26,1.0,headwater
headwater_20170831,-255.51,1.0,headwater
headwater_20170930,-211.83,1.0,headwater
headwater_20171031,-282.18,1.0,headwater
headwater_20171130,-458.2,1.0,headwater
headwater_20171231,-692.09,1.0,headwater
in_ghb_flx_20151231,0.0,1.0,in_ghb
in_ghb_flx_20160131,0.0,1.0,in_ghb
in_ghb_flx_20160229,0.0,1.0,in_ghb
in_ghb_flx_20160331,0.0,1.0,in_ghb
in_ghb_flx_20160430,0.0,1.0,in_ghb
in_ghb_flx_20160531,0.0,1.0,in_ghb
in_ghb_flx_20160630,0.0,1.0,in_ghb
in_ghb_flx_20160731,0.0,1.0,in_ghb
in_ghb_flx_20160831,0.0,1.0,in_ghb
in_ghb_flx_20160930,0.0,1.0,in_ghb
in_ghb_flx_20161031,0.0,1.0,in_ghb
in_ghb_flx_20161130,0.0,1.0,in_ghb
in_ghb_flx_20161231,0.0,1.0,in_ghb
in_ghb_flx_20170131,0.0,1.0,in_ghb
in_ghb_flx_20170228,0.0,1.0,in_ghb
in_ghb_flx_20170331,0.0,1.0,in_ghb
in_ghb_flx_20170430,0.0,1.0,in_ghb
in_ghb_flx_20170531,0.0,1.0,in_ghb
in_ghb_flx_20170630,0.0,1.0,in_ghb
in_ghb_flx_20170731,0.0,1.0,in_ghb
in_ghb_flx_20170831,0.0,1.0,in_ghb
in_ghb_flx_20170930,0.0,1.0,in_ghb
in_ghb_flx_20171031,0.0,1.0,in_ghb
in_ghb_flx_20171130,0.0,1.0,in_ghb
in_ghb_flx_20171231,0.0,1.0,in_ghb
in_rch_flx_20151231,2592.432,1.0,in_rch
in_rch_flx_20160131,4010.3787,1.0,in_rch
in_rch_flx_20160229,4277.0102,1.0,in_rch
in_rch_flx_20160331,4053.1579,1.0,in_rch
in_rch_flx_20160430,3403.9984,1.0,in_rch
in_rch_flx_20160531,2518.5429,1.0,in_rch
in_rch_flx_20160630,1654.601,1.0,in_rch
in_rch_flx_20160731,1063.7187,1.0,in_rch
in_rch_flx_20160831,917.939,1.0,in_rch
in_rch_flx_20160930,1259.7061,1.0,in_rch
in_rch_flx_20161031,1989.5115,1.0,in_rch
in_rch_flx_20161130,2894.8643,1.0,in_rch
in_rch_flx_20161231,3712.1599,1.0,in_rch
in_rch_flx_20170131,4203.4344,1.0,in_rch
in_rch_flx_20170228,4225.6478,1.0,in_rch
in_rch_flx_20170331,3772.3314,1.0,in_rch
in_rch_flx_20170430,2975.4749,1.0,in_rch
in_rch_flx_20170531,2067.0908,1.0,in_rch
in_rch_flx_20170630,1311.6655,1.0,in_rch
in_rch_flx_20170731,929.1498,1.0,in_rch
in_rch_flx_20170831,1030.9175,1.0,in_rch
in_rch_flx_20170930,1587.3373,1.0,in_rch
in_rch_flx_20171031,2436.402,1.0,in_rch
in_rch_flx_20171130,3330.8961,1.0,in_rch
in_rch_flx_20171231,4010.3787,1.0,in_rch
in_sfr_flx_20151231,0.0,1.0,in_sfr
in_sfr_flx_20160131,0.0,1.0,in_sfr
in_sfr_flx_20160229,0.0,1.0,in_sfr
in_sfr_flx_20160331,0.0,1.0,in_sfr
in_sfr_flx_20160430,0.0,1.0,in_sfr
in_sfr_flx_20160531,0.0,1.0,in_sfr
in_sfr_flx_20160630,0.0,1.0,in_sfr
in_sfr_flx_20160731,0.0,1.0,in_sfr
in_sfr_flx_20160831,0.0,1.0,in_sfr
in_sfr_flx_20160930,0.0,1.0,in_sfr
in_sfr_flx_20161031,0.0,1.0,in_sfr
in_sfr_flx_20161130,0.0,1.0,in_sfr
in_sfr_flx_20161231,0.0,1.0,in_sfr
in_sfr_flx_20170131,0.0,1.0,in_sfr
in_sfr_flx_20170228,0.0,1.0,in_sfr
in_sfr_flx_20170331,0.0,1.0,in_sfr
in_sfr_flx_20170430,0.0,1.0,in_sfr
in_sfr_flx_20170531,0.0,1.0,in_sfr
in_sfr_flx_20170630,0.0,1.0,in_sfr
in_sfr_flx_20170731,0.0,1.0,in_sfr
in_sfr_flx_20170831,0.0,1.0,in_sfr
in_sfr_flx_20170930,0.0,1.0,in_sfr
in_sfr_flx_20171031,0.0,1.0,in_sfr
