obsnme,obsval,weight,obgnme
gage_1_20151231,348.98,0.0,gage
gage_1_20160131,567.11,0.005,gage
gage_1_20160229,728.9,0.005,gage
gage_1_20160331,736.49,0.005,gage
gage_1_20160430,754.46,0.005,gage
gage_1_20160531,597.34,0.005,gage
gage_1_20160630,347.06,0.005,gage
gage_1_20160731,105.54,0.005,gage
gage_1_20160831,16.694000000000006,0.005,gage
gage_1_20160930,8.7797,0.005,gage
gage_1_20161031,8.0948,0.005,gage
gage_1_20161130,21.887,0.005,gage
gage_1_20161231,386.65,0.005,gage
gage_1_20170131,841.77,0.0,gage
gage_1_20170228,1089.2,0.0,gage
gage_1_20170331,1117.2,0.0,gage
gage_1_20170430,1039.3,0.0,gage
gage_1_20170531,902.29,0.0,gage
gage_1_20170630,798.04,0.0,gage
gage_1_20170731,498.43,0.0,gage
gage_1_20170831,284.17,0.0,gage
gage_1_20170930,246.77,0.0,gage
gage_1_20171031,355.98,0.0,gage
gage_1_20171130,638.99,0.0,gage
gage_1_20171231,877.16,0.0,gage
headwater_20151231,-139.96,0.0,headwater
headwater_20160131,-226.69,0.0,headwater
headwater_20160229,-301.38,0.0,headwater
headwater_20160331,-294.02,0.0,headwater
headwater_20160430,-320.28,0.0,headwater
headwater_20160531,-254.16,0.0,headwater
headwater_20160630,-126.15,0.0,headwater
headwater_20160731,-4.5262,0.0,headwater
headwater_20160831,35.408,0.0,headwater
headwater_20160930,48.592,0.0,headwater
headwater_20161031,76.743,0.0,headwater
headwater_20161130,43.587,0.0,headwater
headwater_20161231,-145.83,0.0,headwater
headwater_20170131,-371.53,0.0,headwater
headwater_20170228,-491.36,0.0,headwater
headwater_20170331,-499.7,0.0,headwater
headwater_20170430,-468.17,0.0,headwater
headwater_20170531,-414.74,0.0,headwater
headwater_20170630,-371.8,0.0,headwater
headwater_20170731,-209.31,0.0,headwater
headwater_20170831,-102.6,0.0,headwater
headwater_20170930,-94.483,0.0,headwater
headwater_20171031,-141.52,0.0,headwater
headwater_20171130,-279.63,0.0,headwater
headwater_20171231,-383.83,0.0,headwater
in_ghb_flx_20151231,0.0,0.0,in_ghb
in_ghb_flx_20160131,0.0,0.0,in_ghb
in_ghb_flx_20160229,0.0,0.0,in_ghb
in_ghb_flx_20160331,0.0,0.0,in_ghb
in_ghb_flx_20160430,0.0,0.0,in_ghb
