obsnme,obsval,weight,obgnme
gage_1_20151231,954.86,0.0,gage
gage_1_20160131,1532.2,0.004351042074576861,gage
gage_1_20160229,1857.5,0.0035890533871691345,gage
gage_1_20160331,1909.0,0.0034922297887200983,gage
gage_1_20160430,1748.9,0.003811919873444261,gage
gage_1_20160531,1456.3,0.004577811348394333,gage
gage_1_20160630,1012.2,0.006586313640255547,gage
gage_1_20160731,666.06,0.010009108288542573,gage
gage_1_20160831,399.95,0.016668750260449224,gage
gage_1_20160930,256.97,0.025943365632823543,gage
gage_1_20161031,298.84,0.02230848168473654,gage
gage_1_20161130,461.46,0.014446900417515425,gage
gage_1_20161231,888.12,0.007506493116545812,gage
gage_1_20170131,1141.8,0.0,gage
gage_1_20170228,1325.3,0.0,gage
gage_1_20170331,1409.8,0.0,gage
gage_1_20170430,1324.5,0.0,gage
gage_1_20170531,1134.7,0.0,gage
gage_1_20170630,944.29,0.0,gage
gage_1_20170731,717.88,0.0,gage
gage_1_20170831,541.9,0.0,gage
gage_1_20170930,441.61,0.0,gage
gage_1_20171031,497.35,0.0,gage
gage_1_20171130,743.29,0.0,gage
gage_1_20171231,913.39,0.0,gage
headwater_20151231,-449.35,0.0,headwater
headwater_20160131,-724.3,0.0,headwater
headwater_20160229,-891.22,0.0,headwater
headwater_20160331,-929.09,0.0,headwater
headwater_20160430,-860.87,0.0,headwater
headwater_20160531,-722.67,0.0,headwater
headwater_20160630,-499.16,0.0,headwater
headwater_20160731,-344.62,0.0,headwater
headwater_20160831,-251.86,0.0,headwater
headwater_20160930,-186.99,0.0,headwater
headwater_20161031,-194.2,0.0,headwater
headwater_20161130,-240.34,0.0,headwater
headwater_20161231,-422.84,0.0,headwater
headwater_20170131,-535.72,0.0,headwater
headwater_20170228,-626.98,0.0,headwater
headwater_20170331,-684.0,0.0,headwater
headwater_20170430,-663.68,0.0,headwater
headwater_20170531,-600.69,0.0,headwater
headwater_20170630,-523.43,0.0,headwater
headwater_20170731,-412.95,0.0,headwater
headwater_20170831,-301.86,0.0,headwater
headwater_20170930,-238.67,0.0,headwater
headwater_20171031,-230.18,0.0,headwater
headwater_20171130,-321.83,0.0,headwater
headwater_20171231,-393.44,0.0,headwater
in_ghb_flx_20151231,0.0,0.0,in_ghb
in_ghb_flx_20160131,0.0,0.0,in_ghb
in_ghb_flx_20160229,0.0,0.0,in_ghb
in_ghb_flx_20160331,0.0,0.0,in_ghb
in_ghb_flx_20160430,0.0,0.0,in_ghb
in_ghb_flx_20160531,0.0,0.0,in_ghb
in_ghb_flx_20160630,0.0,0.0,in_ghb
in_ghb_flx_20160731,0.0,0.0,in_ghb
in_ghb_flx_20160831,0.0,0.0,in_ghb
in_ghb_flx_20160930,0.0,0.0,in_ghb
in_ghb_flx_20161031,0.0,0.0,in_ghb
in_ghb_flx_20161130,0.0,0.0,in_ghb
in_ghb_flx_20161231,0.0,0.0,in_ghb
in_ghb_flx_20170131,0.0,0.0,in_ghb
in_ghb_flx_20170228,0.0,0.0,in_ghb
in_ghb_flx_20170331,0.0,0.0,in_ghb
in_ghb_flx_20170430,0.0,0.0,in_ghb
in_ghb_flx_20170531,0.0,0.0,in_ghb
in_ghb_flx_20170630,0.0,0.0,in_ghb
in_ghb_flx_20170731,0.0,0.0,in_ghb
in_ghb_flx_20170831,0.0,0.0,in_ghb
in_ghb_flx_20170930,0.0,0.0,in_ghb
in_ghb_flx_20171031,0.0,0.0,in_ghb
in_ghb_flx_20171130,0.0,0.0,in_ghb
in_ghb_flx_20171231,0.0,0.0,in_ghb
in_rch_flx_20151231,2550.1,0.0,in_rch
in_rch_flx_20160131,4998.29,0.0,in_rch
in_rch_flx_20160229,4838.09,0.0,in_rch
in_rch_flx_20160331,3872.55,0.0,in_rch
in_rch_flx_20160430,2970.93,0.0,in_rch
in_rch_flx_20160531,2267.98,0.0,in_rch
in_rch_flx_20160630,1506.62,0.0,in_rch
in_rch_flx_20160731,1040.28,0.0,in_rch
in_rch_flx_20160831,870.597,0.0,in_rch
in_rch_flx_20160930,1090.44,0.0,in_rch
in_rch_flx_20161031,1664.65,0.0,in_rch
in_rch_flx_20161130,2078.43,0.0,in_rch
in_rch_flx_20161231,3679.61,0.0,in_rch
in_rch_flx_20170131,3064.46,0.0,in_rch
in_rch_flx_20170228,3187.12,0.0,in_rch
in_rch_flx_20170331,3006.05,0.0,in_rch
in_rch_flx_20170430,2506.0,0.0,in_rch
in_rch_flx_20170531,1684.97,0.0,in_rch
in_rch_flx_20170630,1348.55,0.0,in_rch
in_rch_flx_20170731,873.372,0.0,in_rch
in_rch_flx_20170831,1114.05,0.0,in_rch
in_rch_flx_20170930,1224.19,0.0,in_rch
in_rch_flx_20171031,1782.58,0.0,in_rch
in_rch_flx_20171130,2781.16,0.0,in_rch
in_rch_flx_20171231,2492.5,0.0,in_rch
in_sfr_flx_20151231,0.0,0.0,in_sfr
in_sfr_flx_20160131,0.0,0.0,in_sfr
in_sfr_flx_20160229,0.0,0.0,in_sfr
in_sfr_flx_20160331,0.0,0.0,in_sfr
in_sfr_flx_20160430,0.0,0.0,in_sfr
in_sfr_flx_20160531,0.0,0.0,in_sfr
in_sfr_flx_20160630,0.0,0.0,in_sfr
in_sfr_flx_20160731,0.0,0.0,in_sfr
in_sfr_flx_20160831,0.0,0.0,in_sfr
in_sfr_flx_20160930,11.6129,0.0,in_sfr
in_sfr_flx_20161031,3.7409,0.0,in_sfr
in_sfr_flx_20161130,0.0,0.0,in_sfr
in_sfr_flx_20161231,0.0,0.0,in_sfr
in_sfr_flx_20170131,0.0,0.0,in_sfr
in_sfr_flx_20170228,0.0,0.0,in_sfr
in_sfr_flx_20170331,0.0,0.0,in_sfr
in_sfr_flx_20170430,0.0,0.0,in_sfr
in_sfr_flx_20170531,0.0,0.0,in_sfr
in_sfr_flx_20170630,0.0,0.0,in_sfr
in_sfr_flx_20170731,0.0,0.0,in_sfr
in_sfr_flx_20170831,0.0,0.0,in_sfr
in_sfr_flx_20170930,0.0,0.0,in_sfr
in_sfr_flx_20171031,0.0,0.0,in_sfr
