obsnme,obsval,weight,obgnme
gage_1_20151231,950.98,0.0,gage
gage_1_20160131,1527.9,0.004363287300652312,gage
gage_1_20160229,1853.5,0.0035967988490243686,gage
gage_1_20160331,1905.9,0.003497909998775732,gage
gage_1_20160430,1747.2,0.0038156288156288155,gage
gage_1_20160531,1454.8,0.004582531390340024,gage
gage_1_20160630,1010.4,0.0065980469780944845,gage
gage_1_20160731,665.49,0.010017681207330941,gage
gage_1_20160831,387.52,0.017203413157170385,gage
gage_1_20160930,254.8,0.026164311878597597,gage
gage_1_20161031,297.32,0.02242253015830306,gage
gage_1_20161130,460.12,0.01448897389086905,gage
gage_1_20161231,886.97,0.007516225652126528,gage
gage_1_20170131,1140.8,0.0,gage
gage_1_20170228,1324.2,0.0,gage
gage_1_20170331,1406.5,0.0,gage
gage_1_20170430,1323.8,0.0,gage
gage_1_20170531,1134.3,0.0,gage
gage_1_20170630,942.83,0.0,gage
gage_1_20170731,716.82,0.0,gage
gage_1_20170831,544.04,0.0,gage
gage_1_20170930,441.53,0.0,gage
gage_1_20171031,496.96,0.0,gage
gage_1_20171130,743.1,0.0,gage
gage_1_20171231,912.4,0.0,gage
headwater_20151231,-445.03,0.0,headwater
headwater_20160131,-721.13,0.0,headwater
headwater_20160229,-888.28,0.0,headwater
headwater_20160331,-926.97,0.0,headwater
headwater_20160430,-859.02,0.0,headwater
headwater_20160531,-721.23,0.0,headwater
headwater_20160630,-497.67,0.0,headwater
headwater_20160731,-343.8,0.0,headwater
headwater_20160831,-247.06,0.0,headwater
headwater_20160930,-185.77,0.0,headwater
headwater_20161031,-193.1,0.0,headwater
headwater_20161130,-239.38,0.0,headwater
headwater_20161231,-422.01,0.0,headwater
headwater_20170131,-535.2,0.0,headwater
headwater_20170228,-626.63,0.0,headwater
headwater_20170331,-682.65,0.0,headwater
headwater_20170430,-663.29,0.0,headwater
headwater_20170531,-600.03,0.0,headwater
headwater_20170630,-522.94,0.0,headwater
headwater_20170731,-412.5,0.0,headwater
headwater_20170831,-302.55,0.0,headwater
headwater_20170930,-238.46,0.0,headwater
headwater_20171031,-229.97,0.0,headwater
headwater_20171130,-321.71,0.0,headwater
headwater_20171231,-393.13,0.0,headwater
in_ghb_flx_20151231,0.0,0.0,in_ghb
in_ghb_flx_20160131,0.0,0.0,in_ghb
in_ghb_flx_20160229,0.0,0.0,in_ghb
in_ghb_flx_20160331,0.0,0.0,in_ghb
in_ghb_flx_20160430,0.0,0.0,in_ghb
in_ghb_flx_20160531,0.0,0.0,in_ghb
in_ghb_flx_20160630,0.0,0.0,in_ghb
in_ghb_flx_20160731,0.0,0.0,in_ghb
in_ghb_flx_20160831,0.0,0.0,in_ghb
in_ghb_flx_20160930,0.0,0.0,in_ghb
in_ghb_flx_20161031,0.0,0.0,in_ghb
in_ghb_flx_20161130,0.0,0.0,in_ghb
in_ghb_flx_20161231,0.0,0.0,in_ghb
in_ghb_flx_20170131,0.0,0.0,in_ghb
in_ghb_flx_20170228,0.0,0.0,in_ghb
in_ghb_flx_20170331,0.0,0.0,in_ghb
in_ghb_flx_20170430,0.0,0.0,in_ghb
in_ghb_flx_20170531,0.0,0.0,in_ghb
in_ghb_flx_20170630,0.0,0.0,in_ghb
in_ghb_flx_20170731,0.0,0.0,in_ghb
in_ghb_flx_20170831,0.0,0.0,in_ghb
in_ghb_flx_20170930,0.0,0.0,in_ghb
in_ghb_flx_20171031,0.0,0.0,in_ghb
in_ghb_flx_20171130,0.0,0.0,in_ghb
in_ghb_flx_20171231,0.0,0.0,in_ghb
in_rch_flx_20151231,2550.1,0.0,in_rch
in_rch_flx_20160131,4998.29,0.0,in_rch
in_rch_flx_20160229,4838.09,0.0,in_rch
in_rch_flx_20160331,3872.55,0.0,in_rch
in_rch_flx_20160430,2970.93,0.0,in_rch
in_rch_flx_20160531,2267.98,0.0,in_rch
in_rch_flx_20160630,1506.62,0.0,in_rch
in_rch_flx_20160731,1040.28,0.0,in_rch
in_rch_flx_20160831,870.597,0.0,in_rch
in_rch_flx_20160930,1090.44,0.0,in_rch
in_rch_flx_20161031,1664.65,0.0,in_rch
in_rch_flx_20161130,2078.43,0.0,in_rch
in_rch_flx_20161231,3679.61,0.0,in_rch
in_rch_flx_20170131,3064.46,0.0,in_rch
in_rch_flx_20170228,3187.12,0.0,in_rch
in_rch_flx_20170331,3006.05,0.0,in_rch
in_rch_flx_20170430,2506.0,0.0,in_rch
in_rch_flx_20170531,1684.97,0.0,in_rch
in_rch_flx_20170630,1348.55,0.0,in_rch
in_rch_flx_20170731,873.372,0.0,in_rch
in_rch_flx_20170831,1114.05,0.0,in_rch
in_rch_flx_20170930,1224.19,0.0,in_rch
in_rch_flx_20171031,1782.58,0.0,in_rch
in_rch_flx_20171130,2781.16,0.0,in_rch
in_rch_flx_20171231,2492.5,0.0,in_rch
in_sfr_flx_20151231,0.0,0.0,in_sfr
in_sfr_flx_20160131,0.0,0.0,in_sfr
in_sfr_flx_20160229,0.0,0.0,in_sfr
in_sfr_flx_20160331,0.0,0.0,in_sfr
in_sfr_flx_20160430,0.0,0.0,in_sfr
in_sfr_flx_20160531,0.0,0.0,in_sfr
in_sfr_flx_20160630,0.0,0.0,in_sfr
in_sfr_flx_20160731,0.0,0.0,in_sfr
in_sfr_flx_20160831,0.0,0.0,in_sfr
in_sfr_flx_20160930,11.8823,0.0,in_sfr
in_sfr_flx_20161031,3.8824,0.0,in_sfr
in_sfr_flx_20161130,0.0,0.0,in_sfr
in_sfr_flx_20161231,0.0,0.0,in_sfr
in_sfr_flx_20170131,0.0,0.0,in_sfr
in_sfr_flx_20170228,0.0,0.0,in_sfr
in_sfr_flx_20170331,0.0,0.0,in_sfr
in_sfr_flx_20170430,0.0,0.0,in_sfr
in_sfr_flx_20170531,0.0,0.0,in_sfr
in_sfr_flx_20170630,0.0,0.0,in_sfr
in_sfr_flx_20170731,0.0,0.0,in_sfr
in_sfr_flx_20170831,0.0,0.0,in_sfr
in_sfr_flx_20170930,0.0,0.0,in_sfr
in_sfr_flx_20171031,0.0,0.0,in_sfr
in_sfr_flx_20171130,0.0,0.0,in_sfr
in_sfr_flx_20171231,0.0,0.0,in_sfr
in_ss_flx_20151231,0.0,0.0,in_ss
in_ss_flx_20160131,0.0,0.0,in_ss
in_ss_flx_20160229,0.0,0.0,in_ss
in_ss_flx_20160331,0.098895,0.0,in_ss
in_ss_flx_20160430,10.1163,0.0,in_ss
in_ss_flx_20160531,18.8718,0.0,in_ss
in_ss_flx_20160630,29.6854,0.0,in_ss
in_ss_flx_20160731,27.3709,0.0,in_ss
in_ss_flx_20160831,25.3641,0.0,in_ss
in_ss_flx_20160930,13.0127,0.0,in_ss
in_ss_flx_20161031,1.61,0.0,in_ss
in_ss_flx_20161130,0.1948,0.0,in_ss
in_ss_flx_20161231,0.0,0.0,in_ss
in_ss_flx_20170131,0.0,0.0,in_ss
in_ss_flx_20170228,0.0,0.0,in_ss
in_ss_flx_20170331,0.045399,0.0,in_ss
in_ss_flx_20170430,4.9116,0.0,in_ss
in_ss_flx_20170531,13.2831,0.0,in_ss
in_ss_flx_20170630,14.128,0.0,in_ss
in_ss_flx_20170731,17.3243,0.0,in_ss
in_ss_flx_20170831,12.4181,0.0,in_ss
in_ss_flx_20170930,10.5898,0.0,in_ss
in_ss_flx_20171031,0.63,0.0,in_ss
in_ss_flx_20171130,0.002768,0.0,in_ss
in_ss_flx_20171231,0.0,0.0,in_ss
in_sy_flx_20151231,0.0,0.0,in_sy
in_sy_flx_20160131,0.0,0.0,in_sy
in_sy_flx_20160229,0.0,0.0,in_sy
in_sy_flx_20160331,2.5361,0.0,in_sy
in_sy_flx_20160430,508.7480000000001,0.0,in_sy
in_sy_flx_20160531,1174.35,0.0,in_sy
in_sy_flx_20160630,1966.72,0.0,in_sy
in_sy_flx_20160731,1931.14,0.0,in_sy
in_sy_flx_20160831,1698.94,0.0,in_sy
in_sy_flx_20160930,1012.92,0.0,in_sy
in_sy_flx_20161031,226.811,0.0,in_sy
in_sy_flx_20161130,42.5302,0.0,in_sy
in_sy_flx_20161231,0.0,0.0,in_sy
in_sy_flx_20170131,0.0,0.0,in_sy
in_sy_flx_20170228,0.0,0.0,in_sy
in_sy_flx_20170331,0.8253,0.0,in_sy
in_sy_flx_20170430,214.418,0.0,in_sy
in_sy_flx_20170531,744.702,0.0,in_sy
in_sy_flx_20170630,888.398,0.0,in_sy
in_sy_flx_20170731,1178.63,0.0,in_sy
in_sy_flx_20170831,1007.46,0.0,in_sy
in_sy_flx_20170930,814.53,0.0,in_sy
in_sy_flx_20171031,184.376,0.0,in_sy
in_sy_flx_20171130,2.5413,0.0,in_sy
in_sy_flx_20171231,0.0,0.0,in_sy
in_wel_flx_20151231,0.0,0.0,in_wel
in_wel_flx_20160131,0.0,0.0,in_wel
in_wel_flx_20160229,0.0,0.0,in_wel
in_wel_flx_20160331,0.0,0.0,in_wel
in_wel_flx_20160430,0.0,0.0,in_wel
in_wel_flx_20160531,0.0,0.0,in_wel
in_wel_flx_20160630,0.0,0.0,in_wel
in_wel_flx_20160731,0.0,0.0,in_wel
in_wel_flx_20160831,0.0,0.0,in_wel
in_wel_flx_20160930,0.0,0.0,in_wel
in_wel_flx_20161031,0.0,0.0,in_wel
in_wel_flx_20161130,0.0,0.0,in_wel
in_wel_flx_20161231,0.0,0.0,in_wel
in_wel_flx_20170131,0.0,0.0,in_wel
in_wel_flx_20170228,0.0,0.0,in_wel
in_wel_flx_20170331,0.0,0.0,in_wel
in_wel_flx_20170430,0.0,0.0,in_wel
in_wel_flx_20170531,0.0,0.0,in_wel
in_wel_flx_20170630,0.0,0.0,in_wel
in_wel_flx_20170731,0.0,0.0,in_wel
in_wel_flx_20170831,0.0,0.0,in_wel
in_wel_flx_20170930,0.0,0.0,in_wel
in_wel_flx_20171031,0.0,0.0,in_wel
in_wel_flx_20171130,0.0,0.0,in_wel
in_wel_flx_20171231,0.0,0.0,in_wel
out_ghb_flx_20151231,382.11300000000006,0.0,out_ghb
out_ghb_flx_20160131,542.937,0.0,out_ghb
out_ghb_flx_20160229,645.8430000000002,0.0,out_ghb
out_ghb_flx_20160331,668.9889999999998,0.0,out_ghb
out_ghb_flx_20160430,634.059,0.0,out_ghb
out_ghb_flx_20160531,559.345,0.0,out_ghb
out_ghb_flx_20160630,449.343,0.0,out_ghb
out_ghb_flx_20160731,321.121,0.0,out_ghb
out_ghb_flx_20160831,188.546,0.0,out_ghb
out_ghb_flx_20160930,122.386,0.0,out_ghb
out_ghb_flx_20161031,117.064,0.0,out_ghb
out_ghb_flx_20161130,171.18200000000004,0.0,out_ghb
out_ghb_flx_20161231,313.327,0.0,out_ghb
out_ghb_flx_20170131,397.124,0.0,out_ghb
out_ghb_flx_20170228,463.18300000000005,0.0,out_ghb
out_ghb_flx_20170331,500.767,0.0,out_ghb
out_ghb_flx_20170430,483.787,0.0,out_ghb
out_ghb_flx_20170531,421.496,0.0,out_ghb
out_ghb_flx_20170630,362.80800000000005,0.0,out_ghb
out_ghb_flx_20170731,289.813,0.0,out_ghb
out_ghb_flx_20170831,244.002,0.0,out_ghb
out_ghb_flx_20170930,196.403,0.0,out_ghb
out_ghb_flx_20171031,215.705,0.0,out_ghb
out_ghb_flx_20171130,299.255,0.0,out_ghb
out_ghb_flx_20171231,351.454,0.0,out_ghb
out_rch_flx_20151231,0.0,0.0,out_rch
out_rch_flx_20160131,0.0,0.0,out_rch
out_rch_flx_20160229,0.0,0.0,out_rch
out_rch_flx_20160331,0.0,0.0,out_rch
out_rch_flx_20160430,0.0,0.0,out_rch
out_rch_flx_20160531,0.0,0.0,out_rch
out_rch_flx_20160630,0.0,0.0,out_rch
out_rch_flx_20160731,0.0,0.0,out_rch
out_rch_flx_20160831,0.0,0.0,out_rch
out_rch_flx_20160930,0.0,0.0,out_rch
out_rch_flx_20161031,0.0,0.0,out_rch
out_rch_flx_20161130,0.0,0.0,out_rch
out_rch_flx_20161231,0.0,0.0,out_rch
out_rch_flx_20170131,0.0,0.0,out_rch
out_rch_flx_20170228,0.0,0.0,out_rch
out_rch_flx_20170331,0.0,0.0,out_rch
out_rch_flx_20170430,0.0,0.0,out_rch
out_rch_flx_20170531,0.0,0.0,out_rch
out_rch_flx_20170630,0.0,0.0,out_rch
out_rch_flx_20170731,0.0,0.0,out_rch
out_rch_flx_20170831,0.0,0.0,out_rch
out_rch_flx_20170930,0.0,0.0,out_rch
out_rch_flx_20171031,0.0,0.0,out_rch
out_rch_flx_20171130,0.0,0.0,out_rch
out_rch_flx_20171231,0.0,0.0,out_rch
out_sfr_flx_20151231,868.365,0.0,out_sfr
out_sfr_flx_20160131,1399.49,0.0,out_sfr
out_sfr_flx_20160229,1720.44,0.0,out_sfr
out_sfr_flx_20160331,1784.71,0.0,out_sfr
out_sfr_flx_20160430,1648.96,0.0,out_sfr
out_sfr_flx_20160531,1387.85,0.0,out_sfr
out_sfr_flx_20160630,970.879,0.0,out_sfr
out_sfr_flx_20160731,642.52,0.0,out_sfr
out_sfr_flx_20160831,362.714,0.0,out_sfr
out_sfr_flx_20160930,224.441,0.0,out_sfr
out_sfr_flx_20161031,230.176,0.0,out_sfr
out_sfr_flx_20161130,362.474,0.0,out_sfr
out_sfr_flx_20161231,757.352,0.0,out_sfr
out_sfr_flx_20170131,996.866,0.0,out_sfr
out_sfr_flx_20170228,1183.14,0.0,out_sfr
out_sfr_flx_20170331,1287.34,0.0,out_sfr
out_sfr_flx_20170430,1230.54,0.0,out_sfr
out_sfr_flx_20170531,1075.33,0.0,out_sfr
out_sfr_flx_20170630,911.778,0.0,out_sfr
out_sfr_flx_20170731,696.31,0.0,out_sfr
out_sfr_flx_20170831,515.738,0.0,out_sfr
out_sfr_flx_20170930,390.497,0.0,out_sfr
out_sfr_flx_20171031,413.497,0.0,out_sfr
out_sfr_flx_20171130,628.224,0.0,out_sfr
out_sfr_flx_20171231,774.137,0.0,out_sfr
out_ss_flx_20151231,0.0,0.0,out_ss
out_ss_flx_20160131,40.657,0.0,out_ss
out_ss_flx_20160229,26.3939,0.0,out_ss
out_ss_flx_20160331,4.9617,0.0,out_ss
out_ss_flx_20160430,0.1348,0.0,out_ss
out_ss_flx_20160531,0.00011953,0.0,out_ss
out_ss_flx_20160630,0.0,0.0,out_ss
out_ss_flx_20160731,0.0,0.0,out_ss
out_ss_flx_20160831,0.00076376,0.0,out_ss
out_ss_flx_20160930,0.1184,0.0,out_ss
out_ss_flx_20161031,1.9882,0.0,out_ss
out_ss_flx_20161130,11.5474,0.0,out_ss
out_ss_flx_20161231,30.9967,0.0,out_ss
out_ss_flx_20170131,17.4867,0.0,out_ss
out_ss_flx_20170228,14.9743,0.0,out_ss
out_ss_flx_20170331,7.5717,0.0,out_ss
out_ss_flx_20170430,0.3696,0.0,out_ss
out_ss_flx_20170531,0.0034744,0.0,out_ss
out_ss_flx_20170630,0.091095,0.0,out_ss
out_ss_flx_20170731,0.0,0.0,out_ss
out_ss_flx_20170831,0.0,0.0,out_ss
out_ss_flx_20170930,0.0,0.0,out_ss
out_ss_flx_20171031,4.8625,0.0,out_ss
