time,TRGW_2_2_15,TRGW_2_2_9,TRGW_2_3_8,TRGW_2_9_1,TRGW_2_13_10,TRGW_2_15_16,TRGW_2_21_10,TRGW_2_22_15,TRGW_2_24_4,TRGW_2_26_6,TRGW_2_29_15,TRGW_2_33_7,TRGW_2_34_10,TRGW_0_2_15,TRGW_0_2_9,TRGW_0_3_8,TRGW_0_9_1,TRGW_0_13_10,TRGW_0_15_16,TRGW_0_21_10,TRGW_0_22_15,TRGW_0_24_4,TRGW_0_26_6,TRGW_0_29_15,TRGW_0_33_7,TRGW_0_34_10
1.000000000000,34.514,34.810,34.847,35.145,34.542,34.378,34.452,34.271,34.654,34.528,34.152,34.252,34.131,34.439,34.816,34.853,35.151,34.548,34.383,34.457,34.201,34.659,34.533,34.088,34.258,34.136
32.00000000000,34.579,34.893,34.931,35.237,34.620,34.444,34.528,34.335,34.739,34.610,34.213,34.325,34.196,34.495,34.900,34.938,35.243,34.626,34.450,34.535,34.257,34.745,34.616,34.142,34.331,34.202
61.00000000000,34.636,34.975,35.015,35.336,34.691,34.503,34.600,34.391,34.825,34.691,34.265,34.389,34.251,34.545,34.981,35.022,35.343,34.698,34.509,34.607,34.305,34.832,34.697,34.188,34.396,34.258
92.00000000000,34.674,35.034,35.077,35.419,34.738,34.540,34.648,34.426,34.888,34.746,34.296,34.429,34.283,34.577,35.041,35.084,35.425,34.745,34.546,34.655,34.336,34.895,34.753,34.214,34.436,34.291
122.0000000000,34.675,35.044,35.089,35.445,34.739,34.538,34.648,34.423,34.898,34.751,34.292,34.427,34.278,34.577,35.051,35.096,35.452,34.747,34.544,34.656,34.333,34.906,34.759,34.210,34.434,34.286
153.0000000000,34.638,35.000,35.045,35.408,34.693,34.496,34.600,34.382,34.851,34.703,34.251,34.381,34.236,34.544,35.007,35.052,35.415,34.700,34.501,34.607,34.297,34.858,34.710,34.174,34.388,34.243
183.0000000000,34.572,34.914,34.958,35.314,34.611,34.426,34.517,34.315,34.759,34.614,34.187,34.306,34.169,34.487,34.921,34.964,35.321,34.617,34.431,34.523,34.238,34.765,34.620,34.118,34.311,34.174
214.0000000000,34.492,34.805,34.845,35.183,34.513,34.345,34.418,34.237,34.641,34.503,34.114,34.217,34.092,34.419,34.811,34.851,35.190,34.518,34.349,34.424,34.171,34.647,34.509,34.055,34.222,34.097
245.0000000000,34.424,34.704,34.741,35.053,34.428,34.277,34.333,34.172,34.534,34.406,34.055,34.142,34.030,34.360,34.710,34.746,35.059,34.433,34.280,34.338,34.114,34.539,34.411,34.002,34.146,34.034
275.0000000000,34.386,34.642,34.676,34.962,34.382,34.241,34.287,34.139,34.468,34.350,34.026,34.103,33.999,34.328,34.647,34.681,34.968,34.386,34.245,34.291,34.086,34.473,34.354,33.978,34.107,34.003
