time,HEADWATER,TAILWATER,GAGE_1
1.000000000000,-644.22,-478.38,1206.1
32.00000000000,-860.19,-628.99,1622.8
61.00000000000,-1029.5,-758.24,1927.7
92.00000000000,-1110.9,-818.81,2059.4
122.0000000000,-1082.0,-794.21,1981.7
153.0000000000,-935.95,-681.19,1692.1
183.0000000000,-723.75,-520.27,1290.5
214.0000000000,-508.80,-359.55,896.79
245.0000000000,-318.89,-226.67,572.01
275.0000000000,-220.19,-160.79,422.23
306.0000000000,-232.84,-172.44,474.19
336.0000000000,-361.45,-267.93,730.35
367.0000000000,-577.21,-428.70,1133.6
398.0000000000,-811.71,-603.87,1557.0
426.0000000000,-982.12,-731.01,1851.8
457.0000000000,-1061.2,-786.72,1967.7
487.0000000000,-1017.9,-751.62,1859.9
518.0000000000,-859.07,-631.38,1549.5
548.0000000000,-639.58,-468.39,1142.8
579.0000000000,-415.24,-305.73,745.65
610.0000000000,-255.50,-192.65,479.78
640.0000000000,-211.82,-162.70,428.25
671.0000000000,-282.17,-214.30,581.33
701.0000000000,-458.20,-343.89,917.57
732.0000000000,-692.08,-517.19,1345.8
